蔬菜 產品日交易行情,,,,,,,,,,
交易日期：,113/10/01 ~ 113/10/31 (農曆:113/08/29 ~ 113/09/29),,,,,,,,,
市　　場：,全部市場,,,,,,,,,
產　　品：,全部產品,,,,,,,,,
日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%,
113/10/01,104 台北二,LP1 芫荽  ,413.4 ,258.8 ,115.7 ,261.1 , + 66,748 , + 15,195302.8
113/10/01,104 台北二,LP2 九層塔  ,79.4 ,57.4 ,38.8 ,58.1 , + 45,"1,502 ", +  6,87266.2
113/10/01,104 台北二,LP9 芫荽 進口 ,270.0 ,270.0 ,260.0 ,268.0 , +  7,40 , +400,10720
113/10/01,104 台北二,LQ1 紅鳳菜 紅鳳菜 ,134.4 ,93.5 ,85.0 ,100.0 , +  1,433 , + 36,43300
113/10/01,104 台北二,LT2 海菜 海帶 ,50.0 ,50.0 ,50.0 ,50.0 ,    0,100 ,    0,5000
113/10/01,104 台北二,LT3 海菜 水蓮 ,182.8 ,175.0 ,156.0 ,172.8 , +  8,"1,064 ", +  3,183859.2
113/10/01,104 台北二,LX1 蕨菜 過貓 ,96.4 ,91.5 ,77.8 ,89.7 , +  2,147 , +  7,13185.9
113/10/01,104 台北二,LX2 蕨菜 山蘇 ,170.0 ,100.4 ,60.0 ,106.2 , + 52,143 , +411,15186.6
113/10/01,104 台北二,LY2 黑甜仔菜  ,10.0 ,10.0 ,10.0 ,10.0 ,  -  ,5 ,  -  ,50
113/10/01,104 台北二,MA0 洋菇 其他 ,57.0 ,57.0 ,57.0 ,57.0 ,    0,20 , +100,1140
113/10/01,104 台北二,MA1 洋菇  ,170.0 ,170.0 ,170.0 ,170.0 , + 39,27 , - 41,4590
113/10/01,104 台北二,MA2 洋菇 盒裝 ,288.1 ,223.2 ,138.0 ,219.2 , +  5,346 , - 25,75843.2
113/10/01,104 台北二,MC0 濕木耳 其他 ,33.0 ,33.0 ,33.0 ,33.0 ,  -  ,1 ,  -  ,33
113/10/01,104 台北二,MC1 濕木耳  ,167.8 ,97.6 ,25.0 ,97.1 , + 53,652 , - 30,63309.2
113/10/01,104 台北二,MD1 濕香菇  ,147.6 ,125.0 ,77.9 ,120.1 , +  9,"1,100 ", - 14,132110
113/10/01,104 台北二,ME1 金絲菇 金針菇 ,52.8 ,43.8 ,39.0 ,44.7 , + 23,"1,684 ", + 20,75274.8
113/10/01,104 台北二,ME2 金絲菇 盒裝 ,69.0 ,67.7 ,36.2 ,61.7 , + 18,716 , +148,44177.2
113/10/01,104 台北二,MF1 蠔菇 鮑魚菇 ,85.0 ,69.3 ,55.3 ,69.7 , +  4,58 , +142,4042.6
113/10/01,104 台北二,MG1 巴西蘑菇  ,110.0 ,110.0 ,110.0 ,110.0 , - 60,2 , +100,220
113/10/01,104 台北二,MI1 秀珍菇  ,113.0 ,80.9 ,62.8 ,83.7 , + 12,392 , + 26,32810.4
113/10/01,104 台北二,MJ1 杏鮑菇  ,127.9 ,80.2 ,50.1 ,83.7 , +  9,"3,805 ", + 10,318478.5
113/10/01,104 台北二,MJ2 杏鮑菇 盒裝 ,120.0 ,120.0 ,120.0 ,120.0 , +310,5 , - 89,600
113/10/01,104 台北二,MK1 鴻喜菇  ,234.8 ,122.8 ,110.0 ,142.6 , +  3,151 , +  6,21532.6
113/10/01,104 台北二,MK2 鴻喜菇 盒裝 ,219.0 ,215.9 ,198.9 ,213.1 , +  9,156 , -  5,33243.6
113/10/01,104 台北二,ML1 珊瑚菇  ,120.0 ,120.0 ,95.0 ,115.0 , -  4,7 , + 17,805
113/10/01,104 台北二,MN1 柳松菇  ,130.9 ,115.0 ,115.0 ,118.2 , -  8,22 , - 31,2600.4
113/10/01,104 台北二,MX1 其他菇類  ,225.0 ,123.2 ,79.1 ,134.7 , + 29,684 , - 23,92134.8
113/10/01,104 台北二,OA1 鹹菜 清心 ,33.1 ,30.0 ,30.0 ,30.6 ,  -  ,"2,160 ",  -  ,66096
113/10/01,104 台北二,OA2 鹹菜 帶葉 ,35.0 ,35.0 ,35.0 ,35.0 ,    0,800 , - 18,28000
113/10/01,104 台北二,OB1 雪里紅  ,30.0 ,30.0 ,30.0 ,30.0 , - 15,240 , - 55,7200
113/10/01,104 台北二,OD1 蘿蔔乾  ,30.0 ,30.0 ,30.0 ,30.0 , - 12,40 , - 78,1200
113/10/01,104 台北二,OE2 醃瓜 漬 漬,36.0 ,33.0 ,30.0 ,33.0 , -  6,48 , - 33,1584
113/10/01,104 台北二,OG2 熟筍 箭竹筍 ,80.0 ,80.0 ,80.0 ,80.0 ,    0,100 ,    0,8000
113/10/01,104 台北二,OX1 其他  ,78.9 ,30.0 ,21.6 ,38.1 , +  6,"2,946 ", - 34,112242.6
113/10/01,104 台北二,SA3 蘿蔔 矸仔 ,27.4 ,18.6 ,12.9 ,19.2 , + 68,"9,565 ", +  8,183648
113/10/01,104 台北二,SA4 蘿蔔 櫻桃 ,100.0 ,90.0 ,80.0 ,90.0 , +  4,50 , + 85,4500
113/10/01,104 台北二,SA7 蘿蔔 甜菜根 ,30.0 ,17.0 ,8.0 ,17.8 , +  2,72 , + 38,1281.6
113/10/01,104 台北二,SA9 蘿蔔 進口 ,33.5 ,27.1 ,13.7 ,25.7 , + 20,"10,760 ", -  7,276532
113/10/01,104 台北二,SB1 胡蘿蔔 未洗 ,25.1 ,25.0 ,22.3 ,24.5 , + 75,"1,566 ", - 32,38367
113/10/01,104 台北二,SB2 胡蘿蔔 清洗 ,57.8 ,39.1 ,22.6 ,39.6 , + 80,"9,850 ", - 10,390060
113/10/01,104 台北二,SC1 馬鈴薯 本產 ,33.0 ,27.1 ,16.5 ,26.2 , + 13,"6,592 ", + 29,172710.4
113/10/01,104 台北二,SC9 馬鈴薯 進口 ,56.8 ,39.8 ,35.0 ,42.2 , + 31,255 , - 80,10761
113/10/01,104 台北二,SD1 洋蔥 本產 ,29.9 ,24.3 ,21.7 ,24.9 , - 22,"3,216 ", + 41,80078.4
113/10/01,104 台北二,SD9 洋蔥 進口 ,30.4 ,27.8 ,23.6 ,27.5 , +  4,"9,892 ", + 29,272030
113/10/01,104 台北二,SE1 青蔥 日蔥 ,262.9 ,236.8 ,207.8 ,236.2 , + 11,705 , + 45,166521
113/10/01,104 台北二,SE2 青蔥 北蔥 ,138.0 ,118.7 ,97.4 ,118.3 , +  7,"3,415 ", + 45,403994.5
113/10/01,104 台北二,SE3 青蔥 大蔥 ,85.0 ,85.0 ,85.0 ,85.0 ,  -  ,15 ,  -  ,1275
113/10/01,104 台北二,SE5 青蔥 紅蔥頭 ,100.0 ,100.0 ,100.0 ,100.0 ,    0,180 , - 17,18000
113/10/01,104 台北二,SE6 青蔥 粉蔥 ,209.6 ,170.1 ,104.3 ,164.8 , + 10,"4,402 ", + 21,725449.6
113/10/01,104 台北二,SF1 韭菜 白頭 ,136.0 ,106.6 ,87.8 ,108.7 , + 29,624 , + 30,67828.8
113/10/01,104 台北二,SF2 韭菜 韭菜黃 ,250.1 ,202.4 ,156.3 ,202.7 , + 10,219 , -  9,44391.3
113/10/01,104 台北二,SF3 韭菜 韭菜花 ,209.1 ,162.9 ,124.3 ,164.4 , +  3,202 , + 39,33208.8
113/10/01,104 台北二,SF4 韭菜 青頭 ,123.8 ,101.5 ,71.7 ,100.0 , + 36,"1,300 ", +  3,130000
113/10/01,104 台北二,SG2 大蒜 軟梗 ,270.0 ,195.3 ,119.7 ,195.1 , -  4,390 ,    0,76089
113/10/01,104 台北二,SG4 大蒜 蔥蒜 ,60.0 ,45.5 ,38.0 ,46.9 , - 59,333 , +825,15617.7
113/10/01,104 台北二,SG5 大蒜 蒜頭 ,95.0 ,85.5 ,70.0 ,84.3 , - 17,35 , - 54,2950.5
113/10/01,104 台北二,SG6 大蒜 蒜仁 ,150.0 ,150.0 ,146.5 ,149.3 , -  0,"1,389 ", + 38,207377.7
113/10/01,104 台北二,SG7 大蒜 蒜瓣 ,242.0 ,167.9 ,112.7 ,171.7 , -  8,665 , +110,114180.5
113/10/01,104 台北二,SH1 竹筍 麻竹筍 ,62.0 ,59.8 ,43.6 ,57.0 , +  6,"2,115 ", + 13,120555
113/10/01,104 台北二,SH2 竹筍 綠竹筍 ,159.7 ,107.6 ,46.4 ,105.8 , + 26,"1,032 ", + 78,109185.6
113/10/01,104 台北二,SH5 竹筍 烏殼綠 ,83.1 ,47.6 ,23.8 ,49.9 , +  5,"2,200 ", - 15,109780
113/10/01,104 台北二,SH7 竹筍 去殼 ,37.8 ,33.2 ,28.6 ,33.2 , - 26,360 , +999,11952
113/10/01,104 台北二,SJ2 芋 檳榔心芋 ,81.6 ,62.5 ,40.6 ,61.9 , + 19,"3,013 ", + 34,186504.7
113/10/01,104 台北二,SJ3 芋 里芋 ,79.3 ,58.7 ,43.9 ,59.8 , +  3,658 , +134,39348.4
113/10/01,104 台北二,SJ4 芋 芋莖 ,30.0 ,30.0 ,30.0 ,30.0 , + 30,32 , - 61,960
113/10/01,104 台北二,SJ5 芋 芋角 ,100.9 ,89.6 ,67.1 ,87.3 , +  7,204 , + 96,17809.2
113/10/01,104 台北二,SK1 荸薺  ,65.0 ,65.0 ,65.0 ,65.0 ,  -  ,21 ,  -  ,1365
113/10/01,104 台北二,SK2 荸薺 加工 ,70.0 ,70.0 ,70.0 ,70.0 ,  -  ,110 ,  -  ,7700
113/10/01,104 台北二,SL1 豆薯  ,33.0 ,28.7 ,27.0 ,29.2 , -  5,715 , + 66,20878
113/10/01,104 台北二,SM9 牛蒡 進口 ,35.0 ,30.9 ,21.7 ,29.9 , - 15,450 , +800,13455
113/10/01,104 台北二,SN1 蓮藕  ,65.0 ,59.7 ,27.3 ,54.3 , + 12,445 , -  1,24163.5
113/10/01,104 台北二,SO0 甘薯 其他 ,26.6 ,23.4 ,17.0 ,22.8 , - 11,"1,125 ", + 55,25650
113/10/01,104 台北二,SO1 甘薯 臺農57號 ,51.5 ,34.2 ,20.8 ,35.0 , +  8,"1,828 ", - 10,63980
113/10/01,104 台北二,SO2 甘薯 芋仔甘薯 ,30.0 ,22.2 ,13.0 ,21.9 , -  5,325 , + 30,7117.5
113/10/01,104 台北二,SO3 甘薯 臺農66號 ,39.6 ,30.2 ,21.1 ,30.2 , + 21,"1,669 ", - 45,50403.8
113/10/01,104 台北二,SP0 薑 其他 ,90.0 ,81.2 ,70.0 ,80.7 ,  -  ,43 ,  -  ,3470.1
113/10/01,104 台北二,SP1 薑 老薑 ,105.4 ,64.9 ,32.2 ,66.4 , - 10,"2,955 ", +120,196212
113/10/01,104 台北二,SP2 薑 嫩薑 ,65.0 ,50.9 ,20.7 ,47.7 , +  1,"1,374 ", - 19,65539.8
113/10/01,104 台北二,SP3 薑 粉薑 ,32.5 ,27.9 ,14.6 ,26.2 , +  5,616 , + 27,16139.2
113/10/01,104 台北二,SP5 薑 薑黃 ,53.8 ,38.0 ,30.0 ,39.5 , - 39,65 , + 67,2567.5
113/10/01,104 台北二,SQ1 茭白筍 帶殼 ,99.5 ,83.7 ,60.4 ,82.2 , +  3,"4,449 ", + 38,365707.8
113/10/01,104 台北二,SQ3 茭白筍 去殼 ,226.6 ,164.0 ,98.0 ,163.3 , +  7,"1,646 ", + 31,268791.8
113/10/01,104 台北二,SR1 菱角 生菱角 ,93.2 ,90.0 ,72.8 ,87.2 , +  2,774 , + 28,67492.8
113/10/01,104 台北二,SR3 菱角 去殼 ,100.0 ,100.0 ,100.0 ,100.0 ,  -  ,30 ,  -  ,3000
113/10/01,104 台北二,SU1 薯蕷 紅薯蕷 ,77.7 ,71.4 ,70.0 ,72.4 ,  -  ,158 ,  -  ,11439.2
113/10/01,104 台北二,SU2 薯蕷 白薯蕷 ,80.5 ,68.5 ,39.3 ,65.1 , -  7,739 , + 37,48108.9
113/10/01,104 台北二,SU3 薯蕷 樹薯 ,40.0 ,30.3 ,20.0 ,30.2 ,  -  ,115 ,  -  ,3473
113/10/01,104 台北二,SV1 蘆筍 白蘆筍 ,216.8 ,125.4 ,50.0 ,128.6 , - 30,22 , + 83,2829.2
113/10/01,104 台北二,SV2 蘆筍 綠蘆筍 ,274.9 ,243.5 ,154.5 ,232.0 , +  6,51 , +143,11832
113/10/01,104 台北二,SV9 蘆筍 進口 ,328.1 ,254.9 ,216.4 ,261.8 , -  2,843 , + 63,220697.4
113/10/01,104 台北二,SW1 球莖甘藍  ,23.0 ,23.0 ,23.0 ,23.0 ,  -  ,40 ,  -  ,920
113/10/01,104 台北二,SX0 芽菜類 其他 ,20.0 ,20.0 ,20.0 ,20.0 ,    0,48 , - 40,960
113/10/01,104 台北二,SX1 芽菜類 綠豆芽 ,12.0 ,12.0 ,12.0 ,12.0 ,    0,"2,830 ", + 24,33960
113/10/01,104 台北二,SX2 芽菜類 黃豆芽 ,20.0 ,20.0 ,20.0 ,20.0 ,    0,374 , - 27,7480
113/10/01,104 台北二,SX3 芽菜類 豌豆芽 ,85.0 ,85.0 ,85.0 ,85.0 ,    0,30 , - 17,2550
113/10/01,104 台北二,SX4 芽菜類 苜蓿芽 ,50.0 ,50.0 ,50.0 ,50.0 ,    0,48 , - 47,2400
113/10/01,104 台北二,SZ1 半天筍  ,74.3 ,35.0 ,35.0 ,42.9 , - 52,42 , +600,1801.8
113/10/01,104 台北二,SZ7 晚香玉筍  ,250.0 ,250.0 ,250.0 ,250.0 ,  -  ,2 ,  -  ,500
